%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1520814195753844403,249,1520814195752814054,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814196748540093,250,1520814196747500896,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814197758603655,251,1520814197757565975,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814198833806748,252,1520814198833034038,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814199835806108,253,1520814199834568023,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814200825324736,254,1520814200824289083,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814201832957104,255,1520814201832271099,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814202794511314,256,1520814202793565988,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814203808274163,257,1520814203806987047,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814204799906028,258,1520814204798876047,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814205800419033,259,1520814205799663066,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814206749026308,260,1520814206747745990,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814207789238849,261,1520814207788346052,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814208793429533,262,1520814208792352914,map,1,1,21.432505,-157.789296667,20.8,0.6084,0.0,0.0,0.0,0.6084,0.0,0.0,0.0,2.4336,1
1520814209754670288,263,1520814209753489971,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
1520814210749022723,264,1520814210748308897,map,1,1,21.432505,-157.789296667,20.8,0.6724,0.0,0.0,0.0,0.6724,0.0,0.0,0.0,2.6896,1
